Column Name,Data Type,Non-Null Count,Null Count,Unique Values
rowid,int64,39315,0,39315
pl_name,str,39315,0,6100
hostname,str,39315,0,4551
pl_letter,str,39315,0,8
hd_name,str,2920,36395,730
hip_name,str,3196,36119,773
tic_id,str,38523,792,4283
gaia_dr2_id,str,38221,1094,4242
gaia_dr3_id,str,37979,1336,4216
default_flag,int64,39315,0,2
sy_snum,int64,39315,0,4
sy_pnum,int64,39315,0,8
sy_mnum,int64,39315,0,1
cb_flag,int64,39315,0,2
discoverymethod,str,39315,0,11
disc_year,float64,39313,2,34
disc_refname,str,39315,0,1668
disc_pubdate,str,39295,20,294
disc_locale,str,39295,20,4
disc_facility,str,39295,20,73
disc_telescope,str,39295,20,84
disc_instrument,str,39295,20,100
rv_flag,float64,39295,20,2
pul_flag,float64,39295,20,2
ptv_flag,float64,39295,20,2
tran_flag,float64,39295,20,2
ast_flag,float64,39295,20,2
obm_flag,float64,39295,20,2
micro_flag,float64,39295,20,2
etv_flag,float64,39295,20,2
ima_flag,float64,39295,20,2
dkin_flag,float64,39295,20,2
soltype,str,39295,20,9
pl_controv_flag,float64,39295,20,2
pl_refname,str,39295,20,2513
pl_orbper,float64,35961,3354,23029
pl_orbpererr1,float64,34263,5052,8655
pl_orbpererr2,float64,34262,5053,8643
pl_orbperlim,float64,35961,3354,3
pl_orbsmax,float64,21983,17332,6483
pl_orbsmaxerr1,float64,7517,31798,1019
pl_orbsmaxerr2,float64,7516,31799,1006
pl_orbsmaxlim,float64,24769,14546,2
pl_rade,float64,27103,12212,6500
pl_radeerr1,float64,26362,12953,3041
pl_radeerr2,float64,26362,12953,2885
pl_radelim,float64,29848,9467,3
pl_radj,float64,27103,12212,7591
pl_radjerr1,float64,26362,12953,3438
pl_radjerr2,float64,26362,12953,3241
pl_radjlim,float64,27103,12212,3
pl_masse,float64,4799,34516,3072
pl_masseerr1,float64,4367,34948,1448
pl_masseerr2,float64,4367,34948,1351
pl_masselim,float64,4831,34484,3
pl_massj,float64,4799,34516,2678
pl_massjerr1,float64,4367,34948,1155
pl_massjerr2,float64,4367,34948,1084
pl_massjlim,float64,4831,34484,3
pl_msinie,float64,2586,36729,2112
pl_msinieerr1,float64,2318,36997,1004
pl_msinieerr2,float64,2318,36997,1002
pl_msinielim,float64,2586,36729,3
pl_msinij,float64,2584,36731,1713
pl_msinijerr1,float64,2311,37004,722
pl_msinijerr2,float64,2311,37004,720
pl_msinijlim,float64,2584,36731,3
pl_cmasse,float64,88,39227,88
pl_cmasseerr1,float64,84,39231,82
pl_cmasseerr2,float64,84,39231,82
pl_cmasselim,float64,88,39227,1
pl_cmassj,float64,88,39227,88
pl_cmassjerr1,float64,84,39231,82
pl_cmassjerr2,float64,84,39231,82
pl_cmassjlim,float64,88,39227,1
pl_bmasse,float64,7133,32182,4403
pl_bmasseerr1,float64,6469,32846,1884
pl_bmasseerr2,float64,6469,32846,1787
pl_bmasselim,float64,7133,32182,3
pl_bmassj,float64,7132,32183,3591
pl_bmassjerr1,float64,6463,32852,1460
pl_bmassjerr2,float64,6463,32852,1374
pl_bmassjlim,float64,7132,32183,3
pl_bmassprov,str,7133,32182,3
pl_dens,float64,2747,36568,1252
pl_denserr1,float64,2620,36695,612
pl_denserr2,float64,2620,36695,574
pl_denslim,float64,2747,36568,4
pl_orbeccen,float64,18736,20579,965
pl_orbeccenerr1,float64,3735,35580,379
pl_orbeccenerr2,float64,3734,35581,364
pl_orbeccenlim,float64,21479,17836,4
pl_insol,float64,17156,22159,9551
pl_insolerr1,float64,15798,23517,6994
pl_insolerr2,float64,15798,23517,6295
pl_insollim,float64,22214,17101,1
pl_eqt,float64,17248,22067,3007
pl_eqterr1,float64,2558,36757,385
pl_eqterr2,float64,2558,36757,380
pl_eqtlim,float64,19991,19324,2
pl_orbincl,float64,17369,21946,1759
pl_orbinclerr1,float64,4104,35211,760
pl_orbinclerr2,float64,4106,35209,759
pl_orbincllim,float64,20112,19203,3
pl_tranmid,float64,30540,8775,15013
pl_tranmiderr1,float64,30056,9259,6929
pl_tranmiderr2,float64,30056,9259,6933
pl_tranmidlim,float64,30540,8775,1
pl_tsystemref,str,31309,8006,13
ttv_flag,float64,39265,50,2
pl_imppar,float64,17187,22128,3352
pl_impparerr1,float64,16926,22389,2458
pl_impparerr2,float64,16926,22389,2808
pl_impparlim,float64,19930,19385,3
pl_trandep,float64,18077,21238,7731
pl_trandeperr1,float64,13500,25815,2193
pl_trandeperr2,float64,13500,25815,2184
pl_trandeplim,float64,20820,18495,2
pl_trandur,float64,22231,17084,11575
pl_trandurerr1,float64,17646,21669,2570
pl_trandurerr2,float64,17645,21670,2562
pl_trandurlim,float64,24965,14350,2
pl_ratdor,float64,17200,22115,5298
pl_ratdorerr1,float64,17112,22203,1789
pl_ratdorerr2,float64,17112,22203,1837
pl_ratdorlim,float64,19943,19372,2
pl_ratror,float64,21491,17824,8119
pl_ratrorerr1,float64,21175,18140,2719
pl_ratrorerr2,float64,21175,18140,2798
pl_ratrorlim,float64,24236,15079,1
pl_occdep,float64,48,39267,47
pl_occdeperr1,float64,45,39270,38
pl_occdeperr2,float64,45,39270,37
pl_occdeplim,float64,48,39267,2
pl_orbtper,float64,1737,37578,1680
pl_orbtpererr1,float64,1680,37635,851
pl_orbtpererr2,float64,1680,37635,840
pl_orbtperlim,float64,1737,37578,1
pl_orblper,float64,3531,35784,1758
pl_orblpererr1,float64,3105,36210,994
pl_orblpererr2,float64,3105,36210,970
pl_orblperlim,float64,19388,19927,2
pl_rvamp,float64,4750,34565,2685
pl_rvamperr1,float64,4621,34694,763
pl_rvamperr2,float64,4621,34694,761
pl_rvamplim,float64,4750,34565,3
pl_projobliq,float64,263,39052,205
pl_projobliqerr1,float64,262,39053,126
pl_projobliqerr2,float64,262,39053,133
pl_projobliqlim,float64,263,39052,1
pl_trueobliq,float64,68,39247,61
pl_trueobliqerr1,float64,63,39252,48
pl_trueobliqerr2,float64,63,39252,48
pl_trueobliqlim,float64,68,39247,3
st_refname,str,38865,450,2298
st_spectype,str,2911,36404,292
st_teff,float64,35777,3538,4472
st_tefferr1,float64,35016,4299,3352
st_tefferr2,float64,34756,4559,3414
st_tefflim,float64,35777,3538,2
st_rad,float64,36020,3295,5299
st_raderr1,float64,30476,8839,2656
st_raderr2,float64,30323,8992,2422
st_radlim,float64,36020,3295,2
st_mass,float64,33160,6155,1940
st_masserr1,float64,27743,11572,1559
st_masserr2,float64,27588,11727,1517
st_masslim,float64,33167,6148,3
st_met,float64,24812,14503,1237
st_meterr1,float64,24139,15176,497
st_meterr2,float64,24139,15176,523
st_metlim,float64,27123,12192,3
st_metratio,str,24615,14700,3
st_lum,float64,9684,29631,3522
st_lumerr1,float64,4775,34540,1637
st_lumerr2,float64,4720,34595,1638
st_lumlim,float64,9684,29631,2
st_logg,float64,30504,8811,3961
st_loggerr1,float64,25202,14113,1675
st_loggerr2,float64,25201,14114,1799
st_logglim,float64,30504,8811,3
st_age,float64,9669,29646,730
st_ageerr1,float64,9220,30095,810
st_ageerr2,float64,9220,30095,655
st_agelim,float64,21045,18270,3
st_dens,float64,22334,16981,8742
st_denserr1,float64,17630,21685,6520
st_denserr2,float64,17630,21685,6496
st_denslim,float64,24647,14668,1
st_vsin,float64,3403,35912,565
st_vsinerr1,float64,2626,36689,151
st_vsinerr2,float64,2438,36877,150
st_vsinlim,float64,3403,35912,3
st_rotp,float64,1071,38244,485
st_rotperr1,float64,904,38411,211
st_rotperr2,float64,904,38411,208
st_rotplim,float64,1071,38244,3
st_radv,float64,1770,37545,943
st_radverr1,float64,1730,37585,251
st_radverr2,float64,1589,37726,248
st_radvlim,float64,1770,37545,2
sy_refname,str,39265,50,208
rastr,str,39265,50,4545
ra,float64,39265,50,4554
decstr,str,39265,50,4553
dec,float64,39265,50,4550
glat,float64,39265,50,4547
glon,float64,39265,50,4547
elat,float64,39265,50,4547
elon,float64,39265,50,4548
sy_pm,float64,38330,985,4257
sy_pmerr1,float64,38330,985,4227
sy_pmerr2,float64,38325,990,4224
sy_pmra,float64,38330,985,4253
sy_pmraerr1,float64,38330,985,4207
sy_pmraerr2,float64,38325,990,4205
sy_pmdec,float64,38330,985,4253
sy_pmdecerr1,float64,38330,985,4221
sy_pmdecerr2,float64,38325,990,4218
sy_dist,float64,38419,896,4524
sy_disterr1,float64,37562,1753,3965
sy_disterr2,float64,37562,1753,4002
sy_plx,float64,36848,2467,4106
sy_plxerr1,float64,36848,2467,4098
sy_plxerr2,float64,36848,2467,4098
sy_bmag,float64,37809,1506,3362
sy_bmagerr1,float64,37804,1511,438
sy_bmagerr2,float64,37804,1511,438
sy_vmag,float64,38453,862,3209
sy_vmagerr1,float64,38440,875,196
sy_vmagerr2,float64,38439,876,195
sy_jmag,float64,38419,896,3359
sy_jmagerr1,float64,38321,994,120
sy_jmagerr2,float64,38321,994,120
sy_hmag,float64,38448,867,3354
sy_hmagerr1,float64,38310,1005,151
sy_hmagerr2,float64,38310,1005,151
sy_kmag,float64,38445,870,3383
sy_kmagerr1,float64,38203,1112,165
sy_kmagerr2,float64,38203,1112,163
sy_umag,float64,4003,35312,541
sy_umagerr1,float64,4003,35312,543
sy_umagerr2,float64,4003,35312,543
sy_gmag,float64,4003,35312,544
sy_gmagerr1,float64,4003,35312,544
sy_gmagerr2,float64,4003,35312,544
sy_rmag,float64,4003,35312,541
sy_rmagerr1,float64,4003,35312,542
sy_rmagerr2,float64,4003,35312,542
sy_imag,float64,4003,35312,544
sy_imagerr1,float64,4003,35312,542
sy_imagerr2,float64,4003,35312,542
sy_zmag,float64,4003,35312,540
sy_zmagerr1,float64,4003,35312,542
sy_zmagerr2,float64,4003,35312,542
sy_w1mag,float64,36421,2894,3105
sy_w1magerr1,float64,36325,2990,237
sy_w1magerr2,float64,36325,2990,237
sy_w2mag,float64,36422,2893,3111
sy_w2magerr1,float64,36342,2973,154
sy_w2magerr2,float64,36342,2973,154
sy_w3mag,float64,36420,2895,2869
sy_w3magerr1,float64,26873,12442,504
sy_w3magerr2,float64,26873,12442,504
sy_w4mag,float64,36417,2898,1981
sy_w4magerr1,float64,5784,33531,417
sy_w4magerr2,float64,5784,33531,417
sy_gaiamag,float64,38155,1160,4132
sy_gaiamagerr1,float64,38155,1160,1124
sy_gaiamagerr2,float64,38155,1160,1124
sy_icmag,float64,45,39270,26
sy_icmagerr1,float64,40,39275,22
sy_icmagerr2,float64,40,39275,23
sy_tmag,float64,38458,857,4173
sy_tmagerr1,float64,38447,868,579
sy_tmagerr2,float64,38447,868,579
sy_kepmag,float64,31152,8163,1894
sy_kepmagerr1,float64,0,39315,0
sy_kepmagerr2,float64,0,39315,0
rowupdate,str,39264,51,516
pl_pubdate,str,39265,50,304
releasedate,str,39265,50,481
pl_nnotes,float64,39265,50,16
st_nphot,float64,39265,50,35
st_nrvc,float64,39265,50,13
st_nspec,float64,39265,50,12
pl_nespec,float64,39265,50,23
pl_ntranspec,float64,39265,50,19
pl_ndispec,float64,39265,50,6
